code;id;name;mainRoute;routeIds
551578;MTA_551578;QUEENS BL/ 78 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']
551617;MTA_551617;QUEENS BL/48 ST;MTABC_Q60;['MTABC_Q60']
551618;MTA_551618;QUEENS BL/52 ST;MTABC_Q60;['MTABC_Q60']
551619;MTA_551619;QUEENS BL/52 ST;MTABC_Q60;['MTABC_Q60']
551621;MTA_551621;QUEENS BL/56 ST;MTABC_Q60;['MTABC_Q60']
551622;MTA_551622;QUEENS BL/58 ST;MTABC_Q60;['MTABC_Q60']
551624;MTA_551624;QUEENS BL/60 ST;MTABC_Q60;['MTABC_Q60']
551625;MTA_551625;QUEENS BL/60 ST;MTABC_Q60;['MTABC_Q60']
551626;MTA_551626;QUEENS BL/61 ST;MTABC_Q60;['MTABC_Q60']
551627;MTA_551627;QUEENS BL/63 ST;MTABC_Q60;['MTABC_Q60']
551628;MTA_551628;QUEENS BL/65 PL;MTABC_Q60;['MTABC_Q60']
551629;MTA_551629;QUEENS BL/65 PL;MTABC_Q60;['MTABC_Q60']
551631;MTA_551631;QUEENS BL/69 ST;MTABC_Q60;['MTABC_Q60']
551633;MTA_551633;QUEENS BL/70 ST;MTABC_Q60;['MTABC_Q60']
551634;MTA_551634;QUEENS BL/72 ST;MTABC_Q60;['MTABC_Q60']
551638;MTA_551638;QUEENS BL/51 AV;MTABC_Q60;['MTABC_Q60']
551640;MTA_551640;QUEENS BL/GOLDSMITH ST;MTABC_Q60;['MTABC_Q60']
551641;MTA_551641;QUEENS BL/GRAND AV;MTABC_Q60;['MTABC_Q60']
551642;MTA_551642;QUEENS BL/56 AV;MTABC_Q60;['MTABC_Q60']
551644;MTA_551644;QUEENS BL/63 AV;MTABC_Q60;['MTABC_Q60']
551645;MTA_551645;QUEENS BL/63 DR;MTABC_Q60;['MTABC_Q60', 'MTABC_QM11', 'MTABC_QM18']
551646;MTA_551646;QUEENS BL/63 DR;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551649;MTA_551649;QUEENS BL/66 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551651;MTA_551651;QUEENS BL/67 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM11']
551652;MTA_551652;QUEENS BL/67 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM11', 'MTABC_QM18']
551653;MTA_551653;QUEENS BL/67 DR;MTABC_Q60;['MTABC_Q60']
551654;MTA_551654;QUEENS BL/68 DR;MTABC_Q60;['MTABC_Q60']
551655;MTA_551655;QUEENS BL/68 DR;MTABC_Q60;['MTABC_Q60']
551656;MTA_551656;QUEENS BL/YELLOWSTONE BL;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551657;MTA_551657;QUEENS BL/71 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551658;MTA_551658;QUEENS BL/72 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551659;MTA_551659;QUEENS BL/72 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551660;MTA_551660;QUEENS BL/ASCAN AV;MTABC_Q60;['MTABC_Q60']
551661;MTA_551661;QUEENS BL/75 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551662;MTA_551662;QUEENS BL/75 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551663;MTA_551663;QUEENS BL/76 AV;MTABC_Q60;['MTABC_Q60']
551664;MTA_551664;QUEENS BL/77 AV;MTABC_Q60;['MTABC_Q60']
551666;MTA_551666;QUEENS BL/UNION TPK;MTABC_Q60;['MTABC_Q60']
551668;MTA_551668;QUEENS BL/82 AV;MTABC_Q60;['MTABC_Q60']
