id;longName;shortName
MTA NYCT_BX1;Riverdale - Mott Haven;Bx1
MTA NYCT_B70;Dyker Heights - Sunset Park;B70
MTA NYCT_BX4;Westchester Sq - The Hub;Bx4
MTA NYCT_X28;Sea Gate / Bensonhurst - Manhattan Express;X28
MTA NYCT_BX3;Riverdale - George Washington Bridge;Bx3
MTA NYCT_X27;Bay Ridge - Manhattan Express;X27
MTA NYCT_BX6;Hunts Point - Riverside Dr;Bx6
MTA NYCT_BX5;Pelham Bay - Gladstone Sq;Bx5
MTA NYCT_B74;Sea Gate - Stillwell Av;B74
MTA NYCT_S86;St. George - Oakwood LTD;S86
MTA NYCT_S89;Eltingville - Bayonne LTD;S89
MTA NYCT_Q46;Glen Oaks - Kew Gardens;Q46
MTA NYCT_Q48;Flushing - LaGuardia Airport;Q48
MTA NYCT_S81;St. George - Grant City LTD;S81
MTA NYCT_M116;West Side - East Harlem;M116
MTA NYCT_Q15A;Flushing - Beechhurst / Whitestone;Q15A
MTA NYCT_Q43;Floral Park - Jamaica;Q43
MTA NYCT_Q42;Addeslieigh Park - Jamaica;Q42
MTA NYCT_S84;St. George - Bricktown Mall LTD;S84
MTA NYCT_B65;Downtown Brooklyn - Crown Heights;B65
MTA NYCT_B68;Coney Island - Windsor Terrace;B68
MTA NYCT_B67;Brooklyn Navy Yard - Kensington;B67
MTA NYCT_B69;Downtown Brooklyn - Kensington;B69
MTA NYCT_M23+;Chelsea Piers - East Side;M23-SBS
MTA NYCT_B82;Coney Island - Spring Creek Towers;B82
MTA NYCT_X37;Bay Ridge - Midtown Manhattan Express;X37
MTA NYCT_B84;Spring Creek-New Lots;B84
MTA NYCT_B83;Spring Creek - Broadway Junction;B83
MTA NYCT_X38;Sea Gate / Bensonhurst - Midtown Manhattan Express;X38
MTA NYCT_Q56;Broadway Junction - Jamaica;Q56
MTA NYCT_S98;St. George - Mariners Harbor LTD;S98
MTA NYCT_SIM33C;Mariners Harbor - Greenwich Village Express;SIM33C
MTA NYCT_Q55;Ridgewood - Richmond Hill;Q55
MTA NYCT_Q58;Ridgewood - Flushing;Q58
MTA NYCT_Q59;Williamsburg - Rego Park;Q59
MTA NYCT_S90;St. George - Amazon;S90
MTA NYCT_S92;St. George - Travis LTD;S92
MTA NYCT_S91;St. George - Staten Island Mall LTD;S91
MTA NYCT_S94;St. George - Staten Island Mall LTD;S94
MTA NYCT_M106;East Harlem - West Side;M106
MTA NYCT_S93;College of Staten Island - Bay Ridge LTD;S93
MTA NYCT_Q54;Williamsburg - Jamaica;Q54
MTA NYCT_S96;St. George - West Shore Plaza LTD;S96
MTA NYCT_BX8;Williamsbridge - Locust Point;Bx8
MTA NYCT_M101;East Village - Fort George;M101
MTA NYCT_BX7;Riverdale - Washington Heights;Bx7
MTA NYCT_M102;Harlem - East Village;M102
MTA NYCT_M103;East Harlem - City Hall;M103
MTA NYCT_BX9;Riverdale - West Farms Sq;Bx9
MTA NYCT_M104;West Harlem - Times Square;M104
MTA NYCT_M100;Inwood - Harlem;M100
MTA NYCT_BX13;George Washington Bridge - Bronx Terminal Market;Bx13
MTA NYCT_B90;F Shuttle Bus - Church Av - Stillwell Av;B90
MTA NYCT_BX12;Pelham Bay - Inwood;Bx12
MTA NYCT_BX11;George Washington Bridge - Parkchester;Bx11
MTA NYCT_BX10;Riverdale - Norwood;Bx10
MTA NYCT_BX19;NY Botanical Garden - Riverbank Park;Bx19
MTA NYCT_BX17;Fordham Plaza - Port Morris;Bx17
MTA NYCT_BX16;Pelham - Norwood;Bx16
MTA NYCT_BX15;Fordham Plaza - The Hub;Bx15
MTA NYCT_M14A+;Lower East Side - Abingdon Sq;M14A-SBS
MTA NYCT_B82+;Coney Island -spring Creek Towers;B82-SBS
MTA NYCT_Q77;Laurelton - Jamaica;Q77
MTA NYCT_Q76;College Point - Jamaica;Q76
MTA NYCT_J90;J Shuttle Bus - Crescent St - Jamaica Van Wyck Station;J90
MTA NYCT_M125;Manhattanville - The Hub;M125
MTA NYCT_BX35;George Washington Bridge-West Farms Road;Bx35
MTA NYCT_X68;Floral Park - Midtown Manhattan Express;X68
MTA NYCT_BX34;Woodlawn - Fordham Center;Bx34
MTA NYCT_BX33;Port Morris - Harlem;Bx33
MTA NYCT_BX32;Kingsbridge VA Hospital - Mott Haven;Bx32
MTA NYCT_BX31;Woodlawn - Westchester Sq;Bx31
MTA NYCT_BX30;Co-op City Section 5 - Pelham Parkway;Bx30
MTA NYCT_Q88;Elmhurst - Queens Village;Q88
MTA NYCT_BX39;Wakefield - Clasons Pt;Bx39
MTA NYCT_X64;Cambria Heights - Midtown Manhattan Express;X64
MTA NYCT_BX38;Co-op City Bay Plaza - Norwood;Bx38
MTA NYCT_X63;Rosedale - Midtown Manhattan Express;X63
MTA NYCT_BX36;Soundview - George Washington Bridge;Bx36
MTA NYCT_Q83;Cambria Heights - Jamaica;Q83
MTA NYCT_Q85;Rosedale or Green Acres Shopping Mall - Jamaica;Q85
MTA NYCT_Q84;Laurelton - Jamaica;Q84
MTA NYCT_BX24;Country Club - Hutchinson Metro Center;Bx24
MTA NYCT_BX22;Bedford Park - Castle Hill;Bx22
MTA NYCT_BX21;Westchester Sq - Mott Haven;Bx21
MTA NYCT_BX20;Riverdale - Inwood;Bx20
MTA NYCT_M15+;East Harlem - South Ferry;M15-SBS
MTA NYCT_M15;East Harlem - South Ferry;M15
MTA NYCT_BX29;City Island - Pelham Bay;Bx29
MTA NYCT_BX28;Co-op City Section 5 - Fordham Center;Bx28
MTA NYCT_BX27;Clasons Pt - Gladstone Sq;Bx27
MTA NYCT_BX26;Co-op City Section 5 - Bedford Park;Bx26
MTA NYCT_BX25;Co-op City Bay Plaza - Bedford Park;Bx25
MTA NYCT_Q92;7 Shuttle Bus - Times Square - Hudson Yards;Q92
MTA NYCT_M10;Harlem - Columbus Circle;M10
MTA NYCT_Q94;F Shuttle Bus - Roosevelt Island - Queens Plaza;Q94
MTA NYCT_Q93;7 Shuttle Bus - Queensboro Plz - Vernon Bl-Jackson Av;Q93
MTA NYCT_M12;Midtown West - West Village;M12
MTA NYCT_M11;Riverbank Park & Harlem - West Village;M11
MTA NYCT_Q95;F Shuttle Bus - 21 St/Queensbridge  - Queens Plaza;Q95
MTA NYCT_Q90;Q Shuttle Bus - Barclays Ctr - Prospect Park;Q90
MTA NYCT_M86+;Yorkville - West Side;M86-SBS
MTA NYCT_M21;Lower East Side - West Village;M21
MTA NYCT_M20;Lincoln Center - South Ferry;M20
MTA NYCT_BX41+;Williamsbridge - The Hub;Bx41-SBS
MTA NYCT_BX4A;Westchester Sq - Gladstone Sq;Bx4A
MTA NYCT_M22;Lower East Side - Battery Park City;M22
MTA NYCT_SIM8X;S.I. Mall - Midtown Manhattan Express;SIM8X
MTA NYCT_BX46;Prospect Av - Westchester Av / Hunts Point Market;Bx46
MTA NYCT_BX42;Throgs Neck - River Park Towers;Bx42
MTA NYCT_BX41;Williamsbridge - The Hub;Bx41
MTA NYCT_BX40;Throgs Neck - River Park Towers;Bx40
MTA NYCT_M31;Yorkville - Clinton;M31
MTA NYCT_M35;Ward's Island - East Harlem;M35
MTA NYCT_M14D+;Lower East Side - Chelsea Piers;M14D-SBS
MTA NYCT_M60+;West Side - LaGuardia Airport;M60-SBS
MTA NYCT_BX18A;Morris Heights/High Bridge Circulator;Bx18A
MTA NYCT_BX18B;Morris Heights/High Bridge Circulator;Bx18B
MTA NYCT_Q44+;Bronx Zoo - Jamaica;Q44-SBS
MTA NYCT_M7;Harlem - 14th Street;M7
MTA NYCT_M8;West Village - East Village;M8
MTA NYCT_M42;United Nations - W 42 St Pier;M42
MTA NYCT_M9;Battery Park City - Kips Bay;M9
MTA NYCT_M1;Harlem - East Village;M1
MTA NYCT_M2;Washington Heights - East Village;M2
